trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
109,2,E,0,0,0,0,1,0,000010,2,32,32,868
110,2,E,0,0,0,0,1,0,000010,2,32,32,868
111,2,F,0,0,0,0,0,1,000001,1,32,32,868
112,2,F,0,0,0,0,0,1,000001,1,32,32,868
113,2,F,0,0,0,0,0,1,000001,1,32,32,868
114,2,F,0,0,0,0,0,1,000001,1,32,32,868
115,2,F,0,0,0,0,0,1,000001,1,32,32,868
116,2,F,0,0,0,0,0,1,000001,1,32,32,868
117,2,F,0,0,0,0,0,1,000001,1,32,32,868
118,2,F,0,0,0,0,0,1,000001,1,32,32,868
119,2,F,0,0,0,0,0,1,000001,1,32,32,868
120,2,F,0,0,0,0,0,1,000001,1,32,32,868
121,3,A,1,0,0,0,0,0,100000,32,25,25,875
122,3,A,1,0,0,0,0,0,100000,32,25,25,875
123,3,A,1,0,0,0,0,0,100000,32,25,25,875
124,3,A,1,0,0,0,0,0,100000,32,25,25,875
125,3,A,1,0,0,0,0,0,100000,32,25,25,875
126,3,A,1,0,0,0,0,0,100000,32,25,25,875
127,3,A,1,0,0,0,0,0,100000,32,25,25,875
128,3,A,1,0,0,0,0,0,100000,32,25,25,875
129,3,A,1,0,0,0,0,0,100000,32,25,25,875
130,3,A,1,0,0,0,0,0,100000,32,25,25,875
131,3,B,0,1,0,0,0,0,010000,16,25,25,875
132,3,B,0,1,0,0,0,0,010000,16,25,25,875
133,3,B,0,1,0,0,0,0,010000,16,25,25,875
134,3,B,0,1,0,0,0,0,010000,16,25,25,875
135,3,B,0,1,0,0,0,0,010000,16,25,25,875
136,3,B,0,1,0,0,0,0,010000,16,25,25,875
137,3,B,0,1,0,0,0,0,010000,16,25,25,875
138,3,B,0,1,0,0,0,0,010000,16,25,25,875
139,3,B,0,1,0,0,0,0,010000,16,25,25,875
140,3,B,0,1,0,0,0,0,010000,16,25,25,875
141,3,C,0,0,1,0,0,0,001000,8,25,25,875
142,3,C,0,0,1,0,0,0,001000,8,25,25,875
143,3,C,0,0,1,0,0,0,001000,8,25,25,875
144,3,C,0,0,1,0,0,0,001000,8,25,25,875
145,3,C,0,0,1,0,0,0,001000,8,25,25,875
146,3,C,0,0,1,0,0,0,001000,8,25,25,875
147,3,C,0,0,1,0,0,0,001000,8,25,25,875
148,3,C,0,0,1,0,0,0,001000,8,25,25,875
149,3,C,0,0,1,0,0,0,001000,8,25,25,875
150,3,C,0,0,1,0,0,0,001000,8,25,25,875
151,3,D,0,0,0,1,0,0,000100,4,25,25,875
152,3,D,0,0,0,1,0,0,000100,4,25,25,875
153,3,D,0,0,0,1,0,0,000100,4,25,25,875
154,3,D,0,0,0,1,0,0,000100,4,25,25,875
155,3,D,0,0,0,1,0,0,000100,4,25,25,875
156,3,D,0,0,0,1,0,0,000100,4,25,25,875
157,3,D,0,0,0,1,0,0,000100,4,25,25,875
158,3,D,0,0,0,1,0,0,000100,4,25,25,875
159,3,D,0,0,0,1,0,0,000100,4,25,25,875
160,3,D,0,0,0,1,0,0,000100,4,25,25,875
161,3,E,0,0,0,0,1,0,000010,2,25,25,875
162,3,E,0,0,0,0,1,0,000010,2,25,25,875
163,3,E,0,0,0,0,1,0,000010,2,25,25,875
164,3,E,0,0,0,0,1,0,000010,2,25,25,875
165,3,E,0,0,0,0,1,0,000010,2,25,25,875
166,3,E,0,0,0,0,1,0,000010,2,25,25,875
167,3,E,0,0,0,0,1,0,000010,2,25,25,875
168,3,E,0,0,0,0,1,0,000010,2,25,25,875
169,3,E,0,0,0,0,1,0,000010,2,25,25,875
170,3,E,0,0,0,0,1,0,000010,2,25,25,875
171,3,F,0,0,0,0,0,1,000001,1,25,25,875
172,3,F,0,0,0,0,0,1,000001,1,25,25,875
173,3,F,0,0,0,0,0,1,000001,1,25,25,875
174,3,F,0,0,0,0,0,1,000001,1,25,25,875
175,3,F,0,0,0,0,0,1,000001,1,25,25,875
176,3,F,0,0,0,0,0,1,000001,1,25,25,875
177,3,F,0,0,0,0,0,1,000001,1,25,25,875
178,3,F,0,0,0,0,0,1,000001,1,25,25,875
179,3,F,0,0,0,0,0,1,000001,1,25,25,875
180,3,F,0,0,0,0,0,1,000001,1,25,25,875
181,4,A,1,0,0,0,0,0,100000,32,18,18,882
182,4,A,1,0,0,0,0,0,100000,32,18,18,882
183,4,A,1,0,0,0,0,0,100000,32,18,18,882
184,4,A,1,0,0,0,0,0,100000,32,18,18,882
185,4,A,1,0,0,0,0,0,100000,32,18,18,882
186,4,A,1,0,0,0,0,0,100000,32,18,18,882
187,4,A,1,0,0,0,0,0,100000,32,18,18,882
188,4,A,1,0,0,0,0,0,100000,32,18,18,882
189,4,A,1,0,0,0,0,0,100000,32,18,18,882
190,4,A,1,0,0,0,0,0,100000,32,18,18,882
191,4,B,0,1,0,0,0,0,010000,16,18,18,882
192,4,B,0,1,0,0,0,0,010000,16,18,18,882
193,4,B,0,1,0,0,0,0,010000,16,18,18,882
194,4,B,0,1,0,0,0,0,010000,16,18,18,882
195,4,B,0,1,0,0,0,0,010000,16,18,18,882
196,4,B,0,1,0,0,0,0,010000,16,18,18,882
197,4,B,0,1,0,0,0,0,010000,16,18,18,882
198,4,B,0,1,0,0,0,0,010000,16,18,18,882
199,4,B,0,1,0,0,0,0,010000,16,18,18,882
200,4,B,0,1,0,0,0,0,010000,16,18,18,882
201,4,C,0,0,1,0,0,0,001000,8,18,18,882
202,4,C,0,0,1,0,0,0,001000,8,18,18,882
203,4,C,0,0,1,0,0,0,001000,8,18,18,882
204,4,C,0,0,1,0,0,0,001000,8,18,18,882
205,4,C,0,0,1,0,0,0,001000,8,18,18,882
206,4,C,0,0,1,0,0,0,001000,8,18,18,882
207,4,C,0,0,1,0,0,0,001000,8,18,18,882
208,4,C,0,0,1,0,0,0,001000,8,18,18,882
209,4,C,0,0,1,0,0,0,001000,8,18,18,882
210,4,C,0,0,1,0,0,0,001000,8,18,18,882
211,4,D,0,0,0,1,0,0,000100,4,18,18,882
212,4,D,0,0,0,1,0,0,000100,4,18,18,882
213,4,D,0,0,0,1,0,0,000100,4,18,18,882
214,4,D,0,0,0,1,0,0,000100,4,18,18,882
215,4,D,0,0,0,1,0,0,000100,4,18,18,882
216,4,D,0,0,0,1,0,0,000100,4,18,18,882
217,4,D,0,0,0,1,0,0,000100,4,18,18,882
218,4,D,0,0,0,1,0,0,000100,4,18,18,882
219,4,D,0,0,0,1,0,0,000100,4,18,18,882
220,4,D,0,0,0,1,0,0,000100,4,18,18,882
221,4,E,0,0,0,0,1,0,000010,2,18,18,882
222,4,E,0,0,0,0,1,0,000010,2,18,18,882
223,4,E,0,0,0,0,1,0,000010,2,18,18,882
224,4,E,0,0,0,0,1,0,000010,2,18,18,882
225,4,E,0,0,0,0,1,0,000010,2,18,18,882
226,4,E,0,0,0,0,1,0,000010,2,18,18,882
227,4,E,0,0,0,0,1,0,000010,2,18,18,882
228,4,E,0,0,0,0,1,0,000010,2,18,18,882
229,4,E,0,0,0,0,1,0,000010,2,18,18,882
230,4,E,0,0,0,0,1,0,000010,2,18,18,882
231,4,F,0,0,0,0,0,1,000001,1,18,18,882
232,4,F,0,0,0,0,0,1,000001,1,18,18,882
233,4,F,0,0,0,0,0,1,000001,1,18,18,882
234,4,F,0,0,0,0,0,1,000001,1,18,18,882
235,4,F,0,0,0,0,0,1,000001,1,18,18,882
236,4,F,0,0,0,0,0,1,000001,1,18,18,882
237,4,F,0,0,0,0,0,1,000001,1,18,18,882
238,4,F,0,0,0,0,0,1,000001,1,18,18,882
239,4,F,0,0,0,0,0,1,000001,1,18,18,882
240,4,F,0,0,0,0,0,1,000001,1,18,18,882
241,5,A,1,0,0,0,0,0,100000,32,10,10,890
242,5,A,1,0,0,0,0,0,100000,32,10,10,890
243,5,A,1,0,0,0,0,0,100000,32,10,10,890
244,5,A,1,0,0,0,0,0,100000,32,10,10,890
245,5,A,1,0,0,0,0,0,100000,32,10,10,890
246,5,A,1,0,0,0,0,0,100000,32,10,10,890
247,5,A,1,0,0,0,0,0,100000,32,10,10,890
248,5,A,1,0,0,0,0,0,100000,32,10,10,890
249,5,A,1,0,0,0,0,0,100000,32,10,10,890
250,5,A,1,0,0,0,0,0,100000,32,10,10,890
251,5,B,0,1,0,0,0,0,010000,16,10,10,890
252,5,B,0,1,0,0,0,0,010000,16,10,10,890
253,5,B,0,1,0,0,0,0,010000,16,10,10,890
254,5,B,0,1,0,0,0,0,010000,16,10,10,890
255,5,B,0,1,0,0,0,0,010000,16,10,10,890
256,5,B,0,1,0,0,0,0,010000,16,10,10,890
257,5,B,0,1,0,0,0,0,010000,16,10,10,890
258,5,B,0,1,0,0,0,0,010000,16,10,10,890
259,5,B,0,1,0,0,0,0,010000,16,10,10,890
260,5,B,0,1,0,0,0,0,010000,16,10,10,890
261,5,C,0,0,1,0,0,0,001000,8,10,10,890
262,5,C,0,0,1,0,0,0,001000,8,10,10,890
263,5,C,0,0,1,0,0,0,001000,8,10,10,890
264,5,C,0,0,1,0,0,0,001000,8,10,10,890
265,5,C,0,0,1,0,0,0,001000,8,10,10,890
266,5,C,0,0,1,0,0,0,001000,8,10,10,890
267,5,C,0,0,1,0,0,0,001000,8,10,10,890
268,5,C,0,0,1,0,0,0,001000,8,10,10,890
269,5,C,0,0,1,0,0,0,001000,8,10,10,890
270,5,C,0,0,1,0,0,0,001000,8,10,10,890
271,5,D,0,0,0,1,0,0,000100,4,10,10,890
272,5,D,0,0,0,1,0,0,000100,4,10,10,890
273,5,D,0,0,0,1,0,0,000100,4,10,10,890
274,5,D,0,0,0,1,0,0,000100,4,10,10,890
275,5,D,0,0,0,1,0,0,000100,4,10,10,890
276,5,D,0,0,0,1,0,0,000100,4,10,10,890
277,5,D,0,0,0,1,0,0,000100,4,10,10,890
278,5,D,0,0,0,1,0,0,000100,4,10,10,890
279,5,D,0,0,0,1,0,0,000100,4,10,10,890
280,5,D,0,0,0,1,0,0,000100,4,10,10,890
281,5,E,0,0,0,0,1,0,000010,2,10,10,890
282,5,E,0,0,0,0,1,0,000010,2,10,10,890
283,5,E,0,0,0,0,1,0,000010,2,10,10,890
284,5,E,0,0,0,0,1,0,000010,2,10,10,890
285,5,E,0,0,0,0,1,0,000010,2,10,10,890
286,5,E,0,0,0,0,1,0,000010,2,10,10,890
287,5,E,0,0,0,0,1,0,000010,2,10,10,890
288,5,E,0,0,0,0,1,0,000010,2,10,10,890
289,5,E,0,0,0,0,1,0,000010,2,10,10,890
290,5,E,0,0,0,0,1,0,000010,2,10,10,890
291,5,F,0,0,0,0,0,1,000001,1,10,10,890
292,5,F,0,0,0,0,0,1,000001,1,10,10,890
293,5,F,0,0,0,0,0,1,000001,1,10,10,890
294,5,F,0,0,0,0,0,1,000001,1,10,10,890
295,5,F,0,0,0,0,0,1,000001,1,10,10,890
296,5,F,0,0,0,0,0,1,000001,1,10,10,890
297,5,F,0,0,0,0,0,1,000001,1,10,10,890
298,5,F,0,0,0,0,0,1,000001,1,10,10,890
299,5,F,0,0,0,0,0,1,000001,1,10,10,890
300,5,F,0,0,0,0,0,1,000001,1,10,10,890
