trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
109,4,A,1,0,0,0,0,0,100000,32,70,70,830
110,4,A,1,0,0,0,0,0,100000,32,70,70,830
111,4,A,1,0,0,0,0,0,100000,32,70,70,830
112,4,A,1,0,0,0,0,0,100000,32,70,70,830
113,4,A,1,0,0,0,0,0,100000,32,70,70,830
114,4,A,1,0,0,0,0,0,100000,32,70,70,830
115,4,B,0,1,0,0,0,0,010000,16,70,70,830
116,4,B,0,1,0,0,0,0,010000,16,70,70,830
117,4,B,0,1,0,0,0,0,010000,16,70,70,830
118,4,B,0,1,0,0,0,0,010000,16,70,70,830
119,4,B,0,1,0,0,0,0,010000,16,70,70,830
120,4,B,0,1,0,0,0,0,010000,16,70,70,830
121,4,C,0,0,1,0,0,0,001000,8,70,70,830
122,4,C,0,0,1,0,0,0,001000,8,70,70,830
123,4,C,0,0,1,0,0,0,001000,8,70,70,830
124,4,C,0,0,1,0,0,0,001000,8,70,70,830
125,4,C,0,0,1,0,0,0,001000,8,70,70,830
126,4,C,0,0,1,0,0,0,001000,8,70,70,830
127,4,D,0,0,0,1,0,0,000100,4,70,70,830
128,4,D,0,0,0,1,0,0,000100,4,70,70,830
129,4,D,0,0,0,1,0,0,000100,4,70,70,830
130,4,D,0,0,0,1,0,0,000100,4,70,70,830
131,4,D,0,0,0,1,0,0,000100,4,70,70,830
132,4,D,0,0,0,1,0,0,000100,4,70,70,830
133,4,E,0,0,0,0,1,0,000010,2,70,70,830
134,4,E,0,0,0,0,1,0,000010,2,70,70,830
135,4,E,0,0,0,0,1,0,000010,2,70,70,830
136,4,E,0,0,0,0,1,0,000010,2,70,70,830
137,4,E,0,0,0,0,1,0,000010,2,70,70,830
138,4,E,0,0,0,0,1,0,000010,2,70,70,830
139,4,F,0,0,0,0,0,1,000001,1,70,70,830
140,4,F,0,0,0,0,0,1,000001,1,70,70,830
141,4,F,0,0,0,0,0,1,000001,1,70,70,830
142,4,F,0,0,0,0,0,1,000001,1,70,70,830
143,4,F,0,0,0,0,0,1,000001,1,70,70,830
144,4,F,0,0,0,0,0,1,000001,1,70,70,830
145,5,A,1,0,0,0,0,0,100000,32,60,60,840
146,5,A,1,0,0,0,0,0,100000,32,60,60,840
147,5,A,1,0,0,0,0,0,100000,32,60,60,840
148,5,A,1,0,0,0,0,0,100000,32,60,60,840
149,5,A,1,0,0,0,0,0,100000,32,60,60,840
150,5,A,1,0,0,0,0,0,100000,32,60,60,840
151,5,B,0,1,0,0,0,0,010000,16,60,60,840
152,5,B,0,1,0,0,0,0,010000,16,60,60,840
153,5,B,0,1,0,0,0,0,010000,16,60,60,840
154,5,B,0,1,0,0,0,0,010000,16,60,60,840
155,5,B,0,1,0,0,0,0,010000,16,60,60,840
156,5,B,0,1,0,0,0,0,010000,16,60,60,840
157,5,C,0,0,1,0,0,0,001000,8,60,60,840
158,5,C,0,0,1,0,0,0,001000,8,60,60,840
159,5,C,0,0,1,0,0,0,001000,8,60,60,840
160,5,C,0,0,1,0,0,0,001000,8,60,60,840
161,5,C,0,0,1,0,0,0,001000,8,60,60,840
162,5,C,0,0,1,0,0,0,001000,8,60,60,840
163,5,D,0,0,0,1,0,0,000100,4,60,60,840
164,5,D,0,0,0,1,0,0,000100,4,60,60,840
165,5,D,0,0,0,1,0,0,000100,4,60,60,840
166,5,D,0,0,0,1,0,0,000100,4,60,60,840
167,5,D,0,0,0,1,0,0,000100,4,60,60,840
168,5,D,0,0,0,1,0,0,000100,4,60,60,840
169,5,E,0,0,0,0,1,0,000010,2,60,60,840
170,5,E,0,0,0,0,1,0,000010,2,60,60,840
171,5,E,0,0,0,0,1,0,000010,2,60,60,840
172,5,E,0,0,0,0,1,0,000010,2,60,60,840
173,5,E,0,0,0,0,1,0,000010,2,60,60,840
174,5,E,0,0,0,0,1,0,000010,2,60,60,840
